id,text,patientName,patientId,department,staffId,staffName,sentiment,polarityScore,sentimentScore,emotion,category,severityScore,keywords,doctorRating,createdAt,updatedAt
FB_1765025850105_o1vjpay7r,Food was adequate and acceptable.,Patient 3,PAT_Emergency_2,Emergency,DOC006,Dr Arjun Rao,Neutral,0.1,0.1,neutral,Food Quality,4,food quality,2,2025-12-06T12:57:30.105Z,2025-12-06T12:57:30.105Z
FB_1765025850107_7b7kb2x4o,Medical care was standard and appropriate.,Patient 1,PAT_Emergency_0,Emergency,DOC009,Dr Nisha Verma,Neutral,0.01,0.01,neutral,Medical Care,6,medical care,4,2025-12-06T12:57:30.107Z,2025-12-06T12:57:30.107Z
FB_1765025850109_bzdfln0bn,Received top-quality healthcare.,Patient 2,PAT_Emergency_1,Emergency,DOC001,Dr Asha Menon,Positive,0.57,0.57,positive,Medical Care,1,medical care,4,2025-12-06T12:57:30.109Z,2025-12-06T12:57:30.109Z
FB_1765025850111_7hjhr3bpu,Excellent medical treatment and diagnosis.,Patient 3,PAT_Emergency_2,Emergency,DOC001,Dr Asha Menon,Positive,0.91,0.91,positive,Medical Care,3,medical care,5,2025-12-06T12:57:30.111Z,2025-12-06T12:57:30.111Z
FB_1765025850113_ec5dkvls1,Doctor provided adequate treatment.,Patient 4,PAT_Emergency_3,Emergency,DOC003,Dr Meera Iyer,Neutral,-0.05,-0.05,neutral,Medical Care,5,medical care,3,2025-12-06T12:57:30.113Z,2025-12-06T12:57:30.113Z
FB_1765025850115_aur7gjna6,Amenities were standard.,Patient 1,PAT_Emergency_0,Emergency,DOC005,Dr Priya Sharma,Neutral,-0.06,-0.06,neutral,Facilities,4,facilities,5,2025-12-06T12:57:30.115Z,2025-12-06T12:57:30.115Z
FB_1765025850116_n853du1dc,Equipment is state-of-the-art.,Patient 2,PAT_Emergency_1,Emergency,DOC010,Dr Karan Mehta,Positive,0.81,0.81,positive,Facilities,2,facilities,5,2025-12-06T12:57:30.116Z,2025-12-06T12:57:30.116Z
FB_1765025850118_d2nn6yijj,Infrastructure was reasonable.,Patient 3,PAT_Emergency_2,Emergency,DOC009,Dr Nisha Verma,Neutral,-0.05,-0.05,neutral,Facilities,4,facilities,2,2025-12-06T12:57:30.118Z,2025-12-06T12:57:30.118Z
FB_1765025850119_3ynsu3rwo,Amenities were standard.,Patient 4,PAT_Emergency_3,Emergency,DOC009,Dr Nisha Verma,Neutral,0.08,0.08,neutral,Facilities,5,facilities,3,2025-12-06T12:57:30.119Z,2025-12-06T12:57:30.119Z
FB_1765025850122_tpxc47d37,Equipment is state-of-the-art.,Patient 5,PAT_Emergency_4,Emergency,DOC009,Dr Nisha Verma,Positive,0.98,0.98,positive,Facilities,3,facilities,4,2025-12-06T12:57:30.122Z,2025-12-06T12:57:30.122Z
FB_1765025850124_n8fyuwmzf,Costs seemed reasonable.,Patient 1,PAT_Emergency_0,Emergency,DOC008,Dr Sameer Patel,Neutral,0.08,0.08,neutral,Cost,6,cost,5,2025-12-06T12:57:30.124Z,2025-12-06T12:57:30.124Z
FB_1765025850125_wwl52fiqx,Very reasonable and transparent pricing.,Patient 2,PAT_Emergency_1,Emergency,DOC006,Dr Arjun Rao,Positive,0.57,0.57,positive,Cost,3,cost,1,2025-12-06T12:57:30.125Z,2025-12-06T12:57:30.125Z
FB_1765025850127_0kzuh9bvu,Affordable and fair charges.,Patient 3,PAT_Emergency_2,Emergency,DOC003,Dr Meera Iyer,Positive,0.77,0.77,positive,Cost,1,cost,1,2025-12-06T12:57:30.127Z,2025-12-06T12:57:30.127Z
FB_1765025850128_6ucvcxtfq,Affordable and fair charges.,Patient 4,PAT_Emergency_3,Emergency,DOC009,Dr Nisha Verma,Positive,0.81,0.81,positive,Cost,3,cost,4,2025-12-06T12:57:30.128Z,2025-12-06T12:57:30.128Z
FB_1765025850130_u2on5c6vz,Great hospital,will come back.,Patient 1,PAT_Emergency_0,Emergency,DOC009,Dr Nisha Verma,Positive,0.73,0.73,positive,General,3,general,5,2025-12-06T12:57:30.130Z
FB_1765025850131_vo4n1s2qa,Adequate service provided.,Patient 2,PAT_Emergency_1,Emergency,DOC009,Dr Nisha Verma,Neutral,0.02,0.02,neutral,General,6,general,2,2025-12-06T12:57:30.131Z,2025-12-06T12:57:30.131Z
FB_1765025850133_7w7aqdxj6,Average visit,nothing remarkable.,Patient 3,PAT_Emergency_2,Emergency,DOC010,Dr Karan Mehta,Neutral,-0.04,-0.04,neutral,General,6,general,1,2025-12-06T12:57:30.133Z
FB_1765025850135_8lzczsaot,Would not recommend this hospital.,Patient 4,PAT_Emergency_3,Emergency,DOC005,Dr Priya Sharma,Negative,-0.56,-0.56,negative,General,8,general,5,2025-12-06T12:57:30.135Z,2025-12-06T12:57:30.135Z
FB_1765025850137_nuf0tbmf1,Would not recommend this hospital.,Patient 5,PAT_Emergency_4,Emergency,DOC009,Dr Nisha Verma,Negative,-0.74,-0.74,negative,General,7,general,2,2025-12-06T12:57:30.137Z,2025-12-06T12:57:30.137Z
FB_1765025850139_xqxu7j1br,Extremely long waiting period,very frustrating.,Patient 1,PAT_OPD_0,OPD,DOC002,Dr Rohan Kumar,Negative,-0.59,-0.59,negative,Wait Time,10,wait time,5,2025-12-06T12:57:30.139Z
FB_1765025850141_kycl8jawg,Quick check-in process,hardly any wait at all.,Patient 2,PAT_OPD_1,OPD,DOC004,Dr Vikram Das,Positive,0.64,0.64,positive,Wait Time,1,wait time,1,2025-12-06T12:57:30.141Z
FB_1765025850142_qz9002m12,Very efficient,saw the doctor right away.,Patient 3,PAT_OPD_2,OPD,DOC002,Dr Rohan Kumar,Positive,0.99,0.99,positive,Wait Time,3,wait time,1,2025-12-06T12:57:30.142Z
FB_1765025850144_5z00snvmw,Staff were rude and unhelpful.,Patient 1,PAT_OPD_0,OPD,DOC002,Dr Rohan Kumar,Negative,-0.85,-0.85,negative,Staff Behavior,8,staff behavior,5,2025-12-06T12:57:30.144Z,2025-12-06T12:57:30.144Z
FB_1765025850146_ftl0qbtn1,Staff were professional and did their job.,Patient 2,PAT_OPD_1,OPD,DOC004,Dr Vikram Das,Neutral,-0.03,-0.03,neutral,Staff Behavior,4,staff behavior,4,2025-12-06T12:57:30.146Z,2025-12-06T12:57:30.146Z
FB_1765025850147_k1tv86pll,Staff were rude and unhelpful.,Patient 3,PAT_OPD_2,OPD,DOC001,Dr Asha Menon,Negative,-0.82,-0.82,negative,Staff Behavior,9,staff behavior,2,2025-12-06T12:57:30.147Z,2025-12-06T12:57:30.147Z
FB_1765025850149_oex05rlau,Excellent hygiene standards throughout.,Patient 1,PAT_OPD_0,OPD,DOC002,Dr Rohan Kumar,Positive,0.75,0.75,positive,Cleanliness,1,cleanliness,5,2025-12-06T12:57:30.149Z,2025-12-06T12:57:30.149Z
FB_1765025850152_vs1ksmpmr,The place was not clean at all.,Patient 2,PAT_OPD_1,OPD,DOC008,Dr Sameer Patel,Negative,-0.62,-0.62,negative,Cleanliness,10,cleanliness,5,2025-12-06T12:57:30.152Z,2025-12-06T12:57:30.152Z
FB_1765025850154_e9pf1s49s,The environment was very clean and pleasant.,Patient 3,PAT_OPD_2,OPD,DOC002,Dr Rohan Kumar,Positive,0.66,0.66,positive,Cleanliness,1,cleanliness,3,2025-12-06T12:57:30.154Z,2025-12-06T12:57:30.154Z
FB_1765025850156_sol71aato,The facility was adequately clean.,Patient 4,PAT_OPD_3,OPD,DOC005,Dr Priya Sharma,Neutral,-0.02,-0.02,neutral,Cleanliness,4,cleanliness,5,2025-12-06T12:57:30.156Z,2025-12-06T12:57:30.156Z
FB_1765025850157_m0wf0wzef,Food was inedible and unappetizing.,Patient 1,PAT_OPD_0,OPD,DOC010,Dr Karan Mehta,Negative,-0.85,-0.85,negative,Food Quality,10,food quality,2,2025-12-06T12:57:30.157Z,2025-12-06T12:57:30.157Z
FB_1765025850159_kumov0p5q,The food was delicious and nutritious.,Patient 2,PAT_OPD_1,OPD,DOC005,Dr Priya Sharma,Positive,0.73,0.73,positive,Food Quality,1,food quality,4,2025-12-06T12:57:30.159Z,2025-12-06T12:57:30.159Z
FB_1765025850161_7d030xzik,Meals were standard hospital fare.,Patient 3,PAT_OPD_2,OPD,DOC001,Dr Asha Menon,Neutral,0.08,0.08,neutral,Food Quality,5,food quality,1,2025-12-06T12:57:30.161Z,2025-12-06T12:57:30.161Z
FB_1765025850163_xni9wpdis,Doctor provided adequate treatment.,Patient 1,PAT_OPD_0,OPD,DOC010,Dr Karan Mehta,Neutral,-0.06,-0.06,neutral,Medical Care,5,medical care,3,2025-12-06T12:57:30.163Z,2025-12-06T12:57:30.163Z
FB_1765025850166_ymansi568,Doctor provided adequate treatment.,Patient 2,PAT_OPD_1,OPD,DOC004,Dr Vikram Das,Neutral,-0.02,-0.02,neutral,Medical Care,4,medical care,3,2025-12-06T12:57:30.166Z,2025-12-06T12:57:30.166Z
FB_1765025850169_sy1195pqu,Received top-quality healthcare.,Patient 3,PAT_OPD_2,OPD,DOC009,Dr Nisha Verma,Positive,0.92,0.92,positive,Medical Care,2,medical care,3,2025-12-06T12:57:30.169Z,2025-12-06T12:57:30.169Z
FB_1765025850170_50st8qqjn,Excellent medical treatment and diagnosis.,Patient 4,PAT_OPD_3,OPD,DOC004,Dr Vikram Das,Positive,0.97,0.97,positive,Medical Care,2,medical care,5,2025-12-06T12:57:30.170Z,2025-12-06T12:57:30.170Z
FB_1765025850172_9tm50nrhc,Amenities were standard.,Patient 1,PAT_OPD_0,OPD,DOC002,Dr Rohan Kumar,Neutral,-0.03,-0.03,neutral,Facilities,4,facilities,1,2025-12-06T12:57:30.172Z,2025-12-06T12:57:30.172Z
FB_1765025850174_eeh81p03g,Amenities were standard.,Patient 2,PAT_OPD_1,OPD,DOC002,Dr Rohan Kumar,Neutral,0.1,0.1,neutral,Facilities,5,facilities,5,2025-12-06T12:57:30.174Z,2025-12-06T12:57:30.174Z
FB_1765025850176_md61jdp72,Equipment is state-of-the-art.,Patient 3,PAT_OPD_2,OPD,DOC005,Dr Priya Sharma,Positive,0.63,0.63,positive,Facilities,3,facilities,1,2025-12-06T12:57:30.176Z,2025-12-06T12:57:30.176Z
FB_1765025850178_xktkok76t,Affordable and fair charges.,Patient 1,PAT_OPD_0,OPD,DOC004,Dr Vikram Das,Positive,0.87,0.87,positive,Cost,1,cost,3,2025-12-06T12:57:30.178Z,2025-12-06T12:57:30.178Z
FB_1765025850180_2h0ft65v4,Charges were extremely high and unfair.,Patient 2,PAT_OPD_1,OPD,DOC005,Dr Priya Sharma,Negative,-0.51,-0.51,negative,Cost,8,cost,2,2025-12-06T12:57:30.180Z,2025-12-06T12:57:30.180Z
FB_1765025850183_2sy1u48ul,Charges were fair.,Patient 3,PAT_OPD_2,OPD,DOC010,Dr Karan Mehta,Neutral,-0.1,-0.1,neutral,Cost,4,cost,4,2025-12-06T12:57:30.183Z,2025-12-06T12:57:30.183Z
FB_1765025850185_0smstk6io,Pricing was acceptable.,Patient 4,PAT_OPD_3,OPD,DOC004,Dr Vikram Das,Neutral,0.06,0.06,neutral,Cost,5,cost,4,2025-12-06T12:57:30.185Z,2025-12-06T12:57:30.185Z
FB_1765025850187_pngk2s9yh,Affordable and fair charges.,Patient 5,PAT_OPD_4,OPD,DOC010,Dr Karan Mehta,Positive,0.52,0.52,positive,Cost,2,cost,3,2025-12-06T12:57:30.187Z,2025-12-06T12:57:30.187Z
FB_1765025850189_x58bwl1yz,Great hospital,will come back.,Patient 1,PAT_OPD_0,OPD,DOC004,Dr Vikram Das,Positive,0.9,0.9,positive,General,2,general,4,2025-12-06T12:57:30.189Z
FB_1765025850191_u7akf9pnb,Would not recommend this hospital.,Patient 2,PAT_OPD_1,OPD,DOC003,Dr Meera Iyer,Negative,-0.67,-0.67,negative,General,7,general,5,2025-12-06T12:57:30.191Z,2025-12-06T12:57:30.191Z
FB_1765025850192_5fihdn1xd,Adequate service provided.,Patient 3,PAT_OPD_2,OPD,DOC005,Dr Priya Sharma,Neutral,0.04,0.04,neutral,General,5,general,2,2025-12-06T12:57:30.192Z,2025-12-06T12:57:30.192Z
FB_1765025850194_j72c9w3l0,Adequate service provided.,Patient 4,PAT_OPD_3,OPD,DOC007,Dr Kavita Singh,Neutral,-0.09,-0.09,neutral,General,6,general,5,2025-12-06T12:57:30.194Z,2025-12-06T12:57:30.194Z
FB_1765025850196_1l91mnvz7,Terrible experience from start to finish.,Patient 5,PAT_OPD_4,OPD,DOC006,Dr Arjun Rao,Negative,-0.54,-0.54,negative,General,7,general,3,2025-12-06T12:57:30.196Z,2025-12-06T12:57:30.196Z
FB_1765025850199_x8zjgf7v8,Extremely long waiting period,very frustrating.,Patient 1,PAT_IPD_0,IPD,DOC001,Dr Asha Menon,Negative,-0.5,-0.5,negative,Wait Time,8,wait time,4,2025-12-06T12:57:30.199Z
FB_1765025850201_zvia6gt1f,Very efficient,saw the doctor right away.,Patient 2,PAT_IPD_1,IPD,DOC006,Dr Arjun Rao,Positive,0.7,0.7,positive,Wait Time,3,wait time,4,2025-12-06T12:57:30.201Z
FB_1765025850203_549x176dw,Wait time was average,nothing special.,Patient 3,PAT_IPD_2,IPD,DOC008,Dr Sameer Patel,Neutral,,,neutral,Wait Time,4,wait time,2,2025-12-06T12:57:30.203Z
FB_1765025850205_c5kwa1kk3,Very efficient,saw the doctor right away.,Patient 4,PAT_IPD_3,IPD,DOC008,Dr Sameer Patel,Positive,0.89,0.89,positive,Wait Time,3,wait time,4,2025-12-06T12:57:30.205Z
FB_1765025850207_z7gq3km1h,The staff was incredibly friendly and attentive.,Patient 1,PAT_IPD_0,IPD,DOC001,Dr Asha Menon,Positive,0.83,0.83,positive,Staff Behavior,1,staff behavior,4,2025-12-06T12:57:30.207Z,2025-12-06T12:57:30.207Z
FB_1765025850208_0x7dzn4ef,Very poor customer service and attitude.,Patient 2,PAT_IPD_1,IPD,DOC007,Dr Kavita Singh,Negative,-0.77,-0.77,negative,Staff Behavior,7,staff behavior,4,2025-12-06T12:57:30.208Z,2025-12-06T12:57:30.208Z
FB_1765025850211_ajwzvhgi2,The staff was incredibly friendly and attentive.,Patient 3,PAT_IPD_2,IPD,DOC002,Dr Rohan Kumar,Positive,0.78,0.78,positive,Staff Behavior,3,staff behavior,5,2025-12-06T12:57:30.211Z,2025-12-06T12:57:30.211Z
FB_1765025850213_na16kpmjd,Staff seemed indifferent to patient needs.,Patient 4,PAT_IPD_3,IPD,DOC010,Dr Karan Mehta,Negative,-0.92,-0.92,negative,Staff Behavior,10,staff behavior,4,2025-12-06T12:57:30.213Z,2025-12-06T12:57:30.213Z
FB_1765025850215_xcy42a5wv,Cleanliness was acceptable overall.,Patient 1,PAT_IPD_0,IPD,DOC006,Dr Arjun Rao,Neutral,-0.06,-0.06,neutral,Cleanliness,5,cleanliness,2,2025-12-06T12:57:30.215Z,2025-12-06T12:57:30.215Z
FB_1765025850217_7oxj6sgpz,Standard hygiene levels maintained.,Patient 2,PAT_IPD_1,IPD,DOC003,Dr Meera Iyer,Neutral,0.08,0.08,neutral,Cleanliness,5,cleanliness,1,2025-12-06T12:57:30.217Z,2025-12-06T12:57:30.217Z
FB_1765025850219_mf808pxly,Excellent hygiene standards throughout.,Patient 3,PAT_IPD_2,IPD,DOC004,Dr Vikram Das,Positive,0.72,0.72,positive,Cleanliness,3,cleanliness,2,2025-12-06T12:57:30.219Z,2025-12-06T12:57:30.219Z
FB_1765025850221_8mltjznw7,Facility was dirty and unhygienic.,Patient 4,PAT_IPD_3,IPD,DOC008,Dr Sameer Patel,Negative,-0.79,-0.79,negative,Cleanliness,7,cleanliness,4,2025-12-06T12:57:30.221Z,2025-12-06T12:57:30.221Z
FB_1765025850222_dah8rrkm6,The environment was very clean and pleasant.,Patient 5,PAT_IPD_4,IPD,DOC003,Dr Meera Iyer,Positive,0.92,0.92,positive,Cleanliness,2,cleanliness,2,2025-12-06T12:57:30.222Z,2025-12-06T12:57:30.222Z
FB_1765025850224_ho5h54wf9,Food was okay,nothing exceptional.,Patient 1,PAT_IPD_0,IPD,DOC004,Dr Vikram Das,Neutral,-0.02,-0.02,neutral,Food Quality,4,food quality,1,2025-12-06T12:57:30.224Z
FB_1765025850227_o2b5t7731,Food options were excellent and well-prepared.,Patient 2,PAT_IPD_1,IPD,DOC004,Dr Vikram Das,Positive,0.73,0.73,positive,Food Quality,2,food quality,5,2025-12-06T12:57:30.227Z,2025-12-06T12:57:30.227Z
FB_1765025850229_fmq4fu7s5,Meals were hot and tasty with good variety.,Patient 3,PAT_IPD_2,IPD,DOC008,Dr Sameer Patel,Positive,0.78,0.78,positive,Food Quality,1,food quality,2,2025-12-06T12:57:30.229Z,2025-12-06T12:57:30.229Z
FB_1765025850232_eyz8p4pli,Meals were standard hospital fare.,Patient 4,PAT_IPD_3,IPD,DOC004,Dr Vikram Das,Neutral,0.08,0.08,neutral,Food Quality,6,food quality,4,2025-12-06T12:57:30.232Z,2025-12-06T12:57:30.232Z
FB_1765025850234_b1c4ou99k,Medical care was standard and appropriate.,Patient 1,PAT_IPD_0,IPD,DOC006,Dr Arjun Rao,Neutral,-0.03,-0.03,neutral,Medical Care,6,medical care,3,2025-12-06T12:57:30.234Z,2025-12-06T12:57:30.234Z
FB_1765025850236_wao6v6aa2,Medical care was inadequate.,Patient 2,PAT_IPD_1,IPD,DOC001,Dr Asha Menon,Negative,-0.52,-0.52,negative,Medical Care,7,medical care,1,2025-12-06T12:57:30.236Z,2025-12-06T12:57:30.236Z
FB_1765025850237_4s9qcgfik,Poor treatment and diagnosis.,Patient 3,PAT_IPD_2,IPD,DOC004,Dr Vikram Das,Negative,-0.74,-0.74,negative,Medical Care,10,medical care,3,2025-12-06T12:57:30.237Z,2025-12-06T12:57:30.237Z
FB_1765025850239_lahw1z20f,Equipment is state-of-the-art.,Patient 1,PAT_IPD_0,IPD,DOC001,Dr Asha Menon,Positive,0.85,0.85,positive,Facilities,2,facilities,1,2025-12-06T12:57:30.239Z,2025-12-06T12:57:30.239Z
FB_1765025850241_hlx5d1d72,Infrastructure was reasonable.,Patient 2,PAT_IPD_1,IPD,DOC010,Dr Karan Mehta,Neutral,0.01,0.01,neutral,Facilities,4,facilities,4,2025-12-06T12:57:30.241Z,2025-12-06T12:57:30.241Z
FB_1765025850243_cjyr1c6mk,Amenities were standard.,Patient 3,PAT_IPD_2,IPD,DOC009,Dr Nisha Verma,Neutral,-0.07,-0.07,neutral,Facilities,5,facilities,3,2025-12-06T12:57:30.243Z,2025-12-06T12:57:30.243Z
FB_1765025850245_9waa7smnw,Modern facilities and comfortable environment.,Patient 4,PAT_IPD_3,IPD,DOC010,Dr Karan Mehta,Positive,0.62,0.62,positive,Facilities,3,facilities,2,2025-12-06T12:57:30.245Z,2025-12-06T12:57:30.245Z
FB_1765025850246_9n4n9psza,Affordable and fair charges.,Patient 1,PAT_IPD_0,IPD,DOC009,Dr Nisha Verma,Positive,0.92,0.92,positive,Cost,2,cost,4,2025-12-06T12:57:30.246Z,2025-12-06T12:57:30.246Z
FB_1765025850248_5zstanapu,Very reasonable and transparent pricing.,Patient 2,PAT_IPD_1,IPD,DOC006,Dr Arjun Rao,Positive,0.99,0.99,positive,Cost,3,cost,2,2025-12-06T12:57:30.248Z,2025-12-06T12:57:30.248Z
FB_1765025850250_wuz13gbb0,Very reasonable and transparent pricing.,Patient 3,PAT_IPD_2,IPD,DOC003,Dr Meera Iyer,Positive,0.67,0.67,positive,Cost,1,cost,2,2025-12-06T12:57:30.250Z,2025-12-06T12:57:30.250Z
FB_1765025850252_8l09c5ujz,Very reasonable and transparent pricing.,Patient 4,PAT_IPD_3,IPD,DOC006,Dr Arjun Rao,Positive,0.85,0.85,positive,Cost,2,cost,2,2025-12-06T12:57:30.252Z,2025-12-06T12:57:30.252Z
FB_1765025850254_rjm409hfn,Overall excellent experience. Highly recommend!,Patient 1,PAT_IPD_0,IPD,DOC008,Dr Sameer Patel,Positive,0.86,0.86,positive,General,1,general,2,2025-12-06T12:57:30.254Z,2025-12-06T12:57:30.254Z
FB_1765025850257_hk25msont,Adequate service provided.,Patient 2,PAT_IPD_1,IPD,DOC007,Dr Kavita Singh,Neutral,-0.08,-0.08,neutral,General,4,general,1,2025-12-06T12:57:30.257Z,2025-12-06T12:57:30.257Z
FB_1765025850259_5gifm5yz8,Adequate service provided.,Patient 3,PAT_IPD_2,IPD,DOC006,Dr Arjun Rao,Neutral,0.03,0.03,neutral,General,6,general,2,2025-12-06T12:57:30.259Z,2025-12-06T12:57:30.259Z
FB_1765025850261_0muh10bue,Standard waiting period as expected.,Patient 1,PAT_Surgery_0,Surgery,DOC009,Dr Nisha Verma,Neutral,0.07,0.07,neutral,Wait Time,6,wait time,5,2025-12-06T12:57:30.261Z,2025-12-06T12:57:30.261Z
FB_1765025850263_dabwmuznr,Extremely long waiting period,very frustrating.,Patient 2,PAT_Surgery_1,Surgery,DOC006,Dr Arjun Rao,Negative,-0.55,-0.55,negative,Wait Time,7,wait time,5,2025-12-06T12:57:30.263Z
FB_1765025850266_0u5wn8loa,Very efficient,saw the doctor right away.,Patient 3,PAT_Surgery_2,Surgery,DOC009,Dr Nisha Verma,Positive,0.9,0.9,positive,Wait Time,2,wait time,1,2025-12-06T12:57:30.266Z
FB_1765025850268_8egyjsj0f,Staff were professional and did their job.,Patient 1,PAT_Surgery_0,Surgery,DOC010,Dr Karan Mehta,Neutral,-0.04,-0.04,neutral,Staff Behavior,4,staff behavior,2,2025-12-06T12:57:30.268Z,2025-12-06T12:57:30.268Z
FB_1765025850270_bie718lch,Staff were professional and caring throughout.,Patient 2,PAT_Surgery_1,Surgery,DOC007,Dr Kavita Singh,Positive,0.61,0.61,positive,Staff Behavior,1,staff behavior,2,2025-12-06T12:57:30.270Z,2025-12-06T12:57:30.270Z
FB_1765025850273_9drpx0w1c,Staff were professional and did their job.,Patient 3,PAT_Surgery_2,Surgery,DOC009,Dr Nisha Verma,Neutral,0.06,0.06,neutral,Staff Behavior,4,staff behavior,5,2025-12-06T12:57:30.273Z,2025-12-06T12:57:30.273Z
FB_1765025850275_pxt7z0lgp,The staff was incredibly friendly and attentive.,Patient 4,PAT_Surgery_3,Surgery,DOC010,Dr Karan Mehta,Positive,0.63,0.63,positive,Staff Behavior,1,staff behavior,2,2025-12-06T12:57:30.275Z,2025-12-06T12:57:30.275Z
FB_1765025850277_auvj064iy,Excellent hygiene standards throughout.,Patient 1,PAT_Surgery_0,Surgery,DOC005,Dr Priya Sharma,Positive,0.65,0.65,positive,Cleanliness,3,cleanliness,2,2025-12-06T12:57:30.277Z,2025-12-06T12:57:30.277Z
FB_1765025850279_lzji8aq95,The facility was adequately clean.,Patient 2,PAT_Surgery_1,Surgery,DOC001,Dr Asha Menon,Neutral,0.06,0.06,neutral,Cleanliness,4,cleanliness,4,2025-12-06T12:57:30.279Z,2025-12-06T12:57:30.279Z
FB_1765025850281_3nfw54a1c,The facility was adequately clean.,Patient 3,PAT_Surgery_2,Surgery,DOC005,Dr Priya Sharma,Neutral,0.06,0.06,neutral,Cleanliness,5,cleanliness,1,2025-12-06T12:57:30.281Z,2025-12-06T12:57:30.281Z
FB_1765025850284_e6zqen92b,Food was cold and tasteless.,Patient 1,PAT_Surgery_0,Surgery,DOC007,Dr Kavita Singh,Negative,-0.99,-0.99,negative,Food Quality,8,food quality,4,2025-12-06T12:57:30.284Z,2025-12-06T12:57:30.284Z
FB_1765025850286_la81tvlfw,Meals were standard hospital fare.,Patient 2,PAT_Surgery_1,Surgery,DOC001,Dr Asha Menon,Neutral,-0.02,-0.02,neutral,Food Quality,4,food quality,5,2025-12-06T12:57:30.286Z,2025-12-06T12:57:30.286Z
